comentario,sentimento_label,sentimento_score
"O perfume é amplamente elogiado por sua projeção e fixação excepcionais, com duração de até 8 horas ou mais. A fragrância é descrita como doce na medida certa, com um toque amadeirado que confere um ar misterioso e sofisticado. Além disso, é comparado a perfumes importados, destacando-se pela qualidade e personalidade única.",positive,0.5381305813789368
Simplesmente perfeito! A fixação dura o dia todo na minha pele. Já virou meu perfume da vida. Recomendo demais!,positive,0.8914936184883118
"Decepção total. O cheiro some em menos de 1 hora. Parece pura água com álcool. Dinheiro jogado fora, não comprem.",negative,0.9470006823539734
"A fragrância é uma delícia, bem sofisticada e elegante. Uma pena que a fixação na minha pele foi muito baixa, não durou nem 3 horas.",neutral,0.440313458442688
"A entrega foi super rápida e o produto veio bem embalado. Quanto ao cheiro, é bem amadeirado mesmo, exatamente como diz na descrição. Bom perfume.",positive,0.4787767827510834
"Achei o cheiro muito forte e sintético, me deu dor de cabeça na hora. Tentei usar algumas vezes mas infelizmente não consegui me adaptar.",negative,0.619488537311554
Fragrância chique e elegante! Não é um doce enjoativo. Recebo muitos elogios sempre que estou usando. Vale cada centavo.,positive,0.7418283820152283
"O perfume pode até ser bom, mas a embalagem veio violada e vazou um pouco na caixa. Péssimo serviço de entrega da loja.",negative,0.5204893946647644
"Gostei do cheiro, mas não achei nada de especial. É um bom perfume para usar no dia a dia, mas não compraria de novo pelo preço cobrado.",neutral,0.6728805303573608
Muito bom!,positive,0.7255880236625671
"Péssimo produto. O cheiro é completamente diferente do que eu esperava, parece produto de limpeza.",negative,0.9295018315315247
"Adorei o perfume, mas o borrifador veio com defeito, vaza quando eu aperto. Uma pena, pois a fragrância é ótima.",negative,0.3926772177219391
Fixação monstra! Passei de manhã e à noite ainda conseguia sentir o cheiro na pele. Surpreendente pela faixa de preço.,positive,0.49553442001342773
"Não gostei. Na minha pele ficou com um cheiro estranho, meio atalcado. Uma pena, tinha grandes expectativas.",negative,0.5586506128311157
É um perfume ok. Nada de mais.,neutral,0.3497783839702606
"O cheiro é mto bom, fixa bem na roupa. A embalagem é linda, superou minhas expectativas. A loja também postou o pedido super rapido.",positive,0.4902256429195404
"Comprei no escuro, baseado nas avaliações, e me arrependi. A nota amadeirada é muito mais forte do que a doce. Não faz meu estilo.",negative,0.5070931911468506
Um perfume sério e noturno. Perfeito para ocasiões especiais. Projeção e fixação excelentes.,positive,0.6466014981269836
"A transportadora demorou uma eternidade para entregar, quase desisti da compra. O produto em si é bom, mas a experiência foi estressante.",negative,0.4935191869735718
Cheiro de riqueza! Um dos melhores perfumes nacionais que já experimentei. Com certeza comprarei de novo quando o meu acabar.,positive,0.9278162717819214
